ConditionName,Outcome,CountryName,Admin1ISO,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",373.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",271.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",610.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",574.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",592.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",661.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",585.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",382.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",429.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-06-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",836.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",833.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",857.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",778.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",592.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",437.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",495.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",1171.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",1040.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",1016.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",958.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",901.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",512.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",462.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",1105.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",1037.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",1006.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",828.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",917.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",487.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",368.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",1091.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",817.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",892.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",694.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",714.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",385.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",362.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",847.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",721.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",672.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-07-31,"United States Centers for Disease Control and Prevention, COVID-19 Response",634.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",641.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",401.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",377.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",884.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",696.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",716.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",679.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",634.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",426.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",343.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",859.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",876.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",778.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",601.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",876.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",382.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",324.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",826.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",708.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",824.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",720.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",661.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",396.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",373.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",900.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",1161.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",1127.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",829.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",769.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",446.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-08-31,"United States Centers for Disease Control and Prevention, COVID-19 Response",501.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",951.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",1117.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",1140.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",1000.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",920.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",581.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",565.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",640.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",1357.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-09-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",1061.0
